1,1,10.0423,512478
2,1,28.6532,512478
3,1,6.14295,512478
4,1,3.89358,512478
5,1,5.93733,512478
6,1,39.7782,512478
7,1,11.3497,512478
8,1,23.8971,512478
1,2,6.83924,512478
2,2,15.8778,512478
3,2,5.12285,512478
4,2,3.99313,512478
5,2,5.00076,512478
6,2,22.0494,512478
7,2,7.38899,512478
8,2,13.9002,512478
1,4,5.36823,512478
2,4,9.5141,512478
3,4,4.31149,512478
4,4,3.91898,512478
5,4,4.38566,512478
6,4,12.6562,512478
7,4,5.68643,512478
8,4,8.80009,512478
1,8,4.57835,512478
2,8,6.13429,512478
3,8,4.05886,512478
4,8,3.91102,512478
5,8,4.10932,512478
6,8,8.03095,512478
7,8,4.56198,512478
8,8,6.00478,512478
1,16,3.99292,512478
2,16,4.73286,512478
3,16,3.92555,512478
4,16,3.91387,512478
5,16,4.00851,512478
6,16,5.38878,512478
7,16,4.12816,512478
8,16,4.87145,512478
1,32,3.85505,512478
2,32,3.89709,512478
3,32,3.99031,512478
4,32,3.96791,512478
5,32,3.90006,512478
6,32,3.81464,512478
7,32,3.92466,512478
8,32,4.1278,512478
1,64,3.95711,512478
2,64,3.95073,512478
3,64,3.95337,512478
4,64,3.95602,512478
5,64,3.94427,512478
6,64,3.81552,512478
7,64,3.84882,512478
8,64,3.91644,512478
1,128,3.99939,512478
2,128,0.124391,5.41666e+07
3,128,3.86681,512478
4,128,3.84805,512478
5,128,3.90343,512478
6,128,0.101804,-nan
7,128,3.85219,512478
8,128,3.83115,512478
1,256,3.99529,512478
2,256,0.129263,5.41666e+07
3,256,3.84901,512478
4,256,3.84594,512478
5,256,3.89925,512478
6,256,0.101665,-nan
8,256,4.00108,512478
1,512,4.00594,512478
2,512,0.12534,5.41666e+07
3,512,3.86437,512478
4,512,3.84807,512478
5,512,3.9038,512478
6,512,0.0839741,-nan
8,512,4.09662,512478
1,1024,3.88768,512478
2,1024,0.151111,5.41666e+07
3,1024,3.87706,512478
4,1024,3.85593,512478
5,1024,3.83632,512478
6,1024,0.104357,-nan
8,1024,0.116369,5.41666e+07
